,threshold,accuracy,precision,recall,f1
5,0.6,0.7534270753662411,0.5491664653297899,0.4943453675511092,0.5203158979054595
4,0.55,0.7486615285050303,0.5362222222222223,0.5247933884297521,0.5304462519234997
3,0.5,0.7409542860504795,0.519869574077848,0.5548064375815572,0.5367701209889532
2,0.45,0.7321880331823263,0.5042878448918717,0.5882992605480644,0.5430636418389881
1,0.4,0.7196564099546979,0.4857775506727985,0.6202696824706394,0.544846690228293
0,0.35,0.7035359181031947,0.46602988753658914,0.6578947368421053,0.5455857155739923
